idade,estado_civil,num_dependentes,renda_mensal,score_credito,num_emprestimos,valor_divida,historico_atraso,meses_emprego,tipo_conta,razao_divida_renda,inadimplente
23,Solteiro,1,1200.0,593,1,8222.04,1,19,Corrente,0.571,1
62,Casado,2,2926.96,584,2,1656.34,0,2,Corrente,0.0472,0
55,Viúvo,0,2026.61,570,1,688.82,1,27,Premium,0.0283,0
43,Divorciado,1,4795.1,697,1,6388.15,0,0,Salário,0.111,0
42,Solteiro,1,2530.83,620,3,5962.77,1,126,Premium,0.1963,1
66,Solteiro,2,3301.02,490,2,737.38,0,46,Poupança,0.0186,0
22,Divorciado,4,3369.49,483,1,1151.64,0,3,Corrente,0.0285,1
57,Divorciado,3,4379.59,645,1,2206.42,0,13,Poupança,0.042,0
29,Casado,2,3178.69,664,1,14229.56,0,5,Poupança,0.373,1
23,Casado,2,1845.53,553,2,1578.0,1,9,Salário,0.0713,0
48,Casado,2,4714.42,430,1,5425.2,0,47,Poupança,0.0959,1
73,Casado,1,7168.71,787,3,11852.39,0,19,Corrente,0.1378,0
59,Solteiro,0,4821.17,755,2,11651.63,0,64,Salário,0.2014,0
61,Solteiro,2,2975.45,301,1,3615.58,0,11,Salário,0.1013,0
58,Solteiro,2,4192.13,800,2,3723.28,0,43,Poupança,0.074,0
62,Divorciado,1,1200.0,568,4,813.63,0,11,Corrente,0.0565,0
47,Solteiro,3,4151.49,628,3,74882.31,0,23,Poupança,1.5031,0
25,Solteiro,2,3499.11,770,1,6800.9,0,3,Salário,0.162,0
65,Casado,1,2166.35,847,1,13962.98,0,2,Corrente,0.5371,0
43,Solteiro,0,2619.75,750,2,983.0,0,7,Salário,0.0313,0
46,Solteiro,0,3474.41,636,3,36052.1,1,60,Corrente,0.8647,1
39,Casado,1,6981.15,393,5,468.39,0,42,Corrente,0.0056,0
28,Casado,1,7230.15,296,1,1310.8,0,162,Corrente,0.0151,0
70,Casado,0,2179.69,731,2,3176.63,1,119,Corrente,0.1214,1
62,Divorciado,0,3204.81,801,1,137.58,1,1,Corrente,0.0036,1
54,Solteiro,0,3268.53,477,0,969.57,1,117,Salário,0.0247,1
40,Divorciado,2,6523.86,559,1,4906.29,0,8,Poupança,0.0627,0
64,Divorciado,2,4863.77,516,0,2298.86,1,7,Corrente,0.0394,0
49,Divorciado,1,4731.97,512,2,7846.39,0,32,Salário,0.1382,0
43,Casado,0,5840.66,761,1,13634.62,1,30,Poupança,0.1945,0
43,Casado,0,3008.97,632,2,705.68,0,53,Poupança,0.0195,0
30,Casado,0,7909.72,565,2,3551.61,0,6,Salário,0.0374,0
23,Casado,1,4495.64,998,0,8329.87,1,34,Corrente,0.1544,0
49,Solteiro,0,2360.22,384,2,8125.65,1,27,Poupança,0.2869,1
68,Viúvo,1,3925.9,682,0,13987.96,1,19,Corrente,0.2969,1
21,Casado,4,7579.82,442,0,722.64,1,4,Corrente,0.0079,1
66,Casado,1,3437.14,576,5,12051.72,0,68,Corrente,0.2922,0
65,Casado,3,6873.89,622,0,8934.57,0,81,Salário,0.1083,0
33,Solteiro,0,2936.64,726,1,13427.72,0,35,Corrente,0.381,0
54,Casado,0,2585.84,560,2,7753.28,0,22,Salário,0.2499,0
27,Casado,3,6148.99,544,1,4252.45,0,2,Salário,0.0576,0
61,Casado,1,2315.07,558,1,1470.19,0,41,Corrente,0.0529,0
57,Solteiro,2,6556.35,438,2,17295.89,1,99,Corrente,0.2198,1
38,Solteiro,4,5379.06,694,2,2176.54,0,23,Corrente,0.0337,0
21,Casado,2,2316.02,642,2,5607.41,1,17,Corrente,0.2018,1
73,Casado,1,4321.39,665,3,4662.29,1,4,Premium,0.0899,1
43,Viúvo,1,3128.06,589,0,21661.1,1,20,Corrente,0.5771,1
68,Solteiro,0,5372.44,571,1,26176.81,0,11,Poupança,0.406,0
